STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 07:00,0.18
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 08:00,0.18
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 09:00,0.20
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 10:00,0.29
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 11:00,0.27
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 12:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 14:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 15:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 01:00,0.00
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 05:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 08:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 13:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 15:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 16:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 17:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 18:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 19:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 20:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730401 21:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730404 00:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730404 02:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730404 05:00,0.02
